"","l","h","t"
"1",-1.93264559657984,2.55002903227385,0.219000000000001
"1",-2.4017466967761,2.09855825228057,0.282
"1",-3.38692357019613,3.68643614585164,0.295999999999999
"1",-1.97216239689438,3.97286034551958,0.256
"1",-3.515741650447,3.24860202364468,0.0820000000000007
"1",-4.36707809205871,-1.5925750103362,0.26
"1",1.34381796686512,4.71872313928278,0.0749999999999993
"1",-4.11763109261875,3.13618743223667,0.271000000000001
"1",-2.06143601974505,4.46591540068988,0.0999999999999996
"1",-1.82185526103336,5.33384824724034,0.16
"1",-2.52942398576585,4.5861167470585,0.0809999999999995
"1",-5.99330445625896,1.210633292967,0.0949999999999989
"1",-2.51004376611641,1.53225206531248,0.110000000000001
"1",-3.02657947612261,0.679148932938271,0.124000000000001
"1",-4.43306935250475,1.78274476632558,0.0760000000000005
"1",-4.87669896373171,1.94777266143874,0.195
"1",-3.08618029881838,2.12452855535961,0.0700000000000003
"1",-4.95847316054313,1.60041038107063,0.308
"1",-1.22087061679815,0.869162729869713,0.0619999999999994
"1",1.0973421042048,4.14828710590914,0.0790000000000006
"1",-1.72533416784368,2.92713262697275,0.195
"1",-5.57561144511658,0.968797246467825,0.130000000000001
"1",0.878319841748844,3.65484365798641,0.0839999999999996
"1",-2.92610110606488,4.1294011899982,0.183
"1",-3.39547905647437,3.84631839968572,0.177
"1",-3.79210358853295,3.07876547856698,0.174999999999999
"1",-4.25801162555804,3.12624341598388,0.204000000000001
"1",-4.93843686142334,2.20499149731227,0.190999999999999
"1",-3.44043200185415,3.93186588184106,0.192
"1",-3.02281313840828,3.84380415860903,0.0920000000000005
"1",-1.7642655543777,5.04794267049128,0.0850000000000009
"1",-5.32912512087158,2.0365122796777,0.189
"1",-2.32202305892638,4.99760651632583,0.216999999999999
"1",-1.27679792884875,3.36179695065467,0.305999999999999
"1",-2.30053388850105,4.94810768391178,0.0960000000000001
"1",-2.72478333464259,2.76253534186203,0.138
"1",-0.802572079469504,1.89259568539253,0.289
"1",-2.5825426849267,2.15171966534891,0.302
"1",-3.24761545060452,3.29108315742707,0.0709999999999997
"1",-1.18533029619556,3.51952223176209,0.191999999999998
"1",-3.24858957687441,3.38081006482485,0.0649999999999995
"1",-2.52930227650611,0.482986836396255,0.0879999999999992
"1",-0.432984952561286,2.21328979519717,0.0630000000000006
"1",-4.02241644769989,2.90944826407165,0.314000000000001
"1",-1.01548705256391,3.60701218482284,0.306999999999999
"1",-1.40623219850437,5.84590214631616,0.18
"1",-1.79974294233086,3.46096249553705,0.0700000000000003
"1",-4.56165957905733,2.52729280356906,0.312
"1",-1.26271941439657,3.54006401068328,0.28
"1",-0.756369530977274,2.77076682123707,0.0789999999999997
"1",-0.845234940246481,4.22279397729238,0.0960000000000001
"1",-2.98902676019231,2.36986171159346,0.189
"1",-0.960773494999201,3.60951218193618,0.266
"1",-2.03036746901328,4.79475151638274,0.0839999999999996
"1",-7.23363387236073,0.0704549731901218,0.101
"1",-4.08381750182018,2.93830111952359,0.135000000000001
"1",-1.88787949909079,1.29098840264858,0.101
"1",-0.191052332634884,4.38724358378808,0.0969999999999995
"1",-3.87788887441014,2.618489327185,0.19
"1",0.0133349824693551,2.69353980202634,0.134
