"","V1","V2","V3","V4"
"result.342",1.05562499805625,0.771210933159766,1.0737499982375,0.778281245879687
"result.343",1.0737499982375,0.771210933159766,1.09187499841875,0.778281245879687
"result.401",0.312499990625,0.778281245879687,0.33062499080625,0.785351558599609
"result.402",0.33062499080625,0.778281245879687,0.3487499909875,0.785351558599609
"result.403",0.3487499909875,0.778281245879687,0.36687499116875,0.785351558599609
"result.404",0.36687499116875,0.778281245879687,0.38499999135,0.785351558599609
"result.405",0.38499999135,0.778281245879687,0.40312499153125,0.785351558599609
"result.406",0.40312499153125,0.778281245879687,0.4212499917125,0.785351558599609
"result.407",0.4212499917125,0.778281245879687,0.43937499189375,0.785351558599609
"result.408",0.43937499189375,0.778281245879687,0.457499992075,0.785351558599609
"result.409",0.457499992075,0.778281245879687,0.47562499225625,0.785351558599609
"result.410",0.47562499225625,0.778281245879687,0.4937499924375,0.785351558599609
"result.411",0.4937499924375,0.778281245879687,0.51187499261875,0.785351558599609
"result.412",0.51187499261875,0.778281245879687,0.5299999928,0.785351558599609
"result.413",0.5299999928,0.778281245879687,0.54812499298125,0.785351558599609
"result.414",0.54812499298125,0.778281245879687,0.5662499931625,0.785351558599609
"result.429",0.8199999957,0.778281245879687,0.83812499588125,0.785351558599609
"result.430",0.83812499588125,0.778281245879687,0.8562499960625,0.785351558599609
"result.433",0.892499996425,0.778281245879687,0.91062499660625,0.785351558599609
"result.434",0.91062499660625,0.778281245879687,0.9287499967875,0.785351558599609
"result.435",0.9287499967875,0.778281245879687,0.94687499696875,0.785351558599609
"result.436",0.94687499696875,0.778281245879687,0.96499999715,0.785351558599609
"result.437",0.96499999715,0.778281245879687,0.98312499733125,0.785351558599609
"result.438",0.98312499733125,0.778281245879687,1.0012499975125,0.785351558599609
"result.439",1.0012499975125,0.778281245879687,1.01937499769375,0.785351558599609
"result.440",1.01937499769375,0.778281245879687,1.037499997875,0.785351558599609
"result.441",1.037499997875,0.778281245879687,1.05562499805625,0.785351558599609
"result.442",1.05562499805625,0.778281245879687,1.0737499982375,0.785351558599609
"result.443",1.0737499982375,0.778281245879687,1.09187499841875,0.785351558599609
"result.444",1.09187499841875,0.778281245879687,1.1099999986,0.785351558599609
"result.501",0.312499990625,0.785351558599609,0.33062499080625,0.792421871319531
"result.502",0.33062499080625,0.785351558599609,0.3487499909875,0.792421871319531
"result.503",0.3487499909875,0.785351558599609,0.36687499116875,0.792421871319531
"result.504",0.36687499116875,0.785351558599609,0.38499999135,0.792421871319531
"result.505",0.38499999135,0.785351558599609,0.40312499153125,0.792421871319531
"result.506",0.40312499153125,0.785351558599609,0.4212499917125,0.792421871319531
"result.507",0.4212499917125,0.785351558599609,0.43937499189375,0.792421871319531
"result.508",0.43937499189375,0.785351558599609,0.457499992075,0.792421871319531
"result.509",0.457499992075,0.785351558599609,0.47562499225625,0.792421871319531
"result.510",0.47562499225625,0.785351558599609,0.4937499924375,0.792421871319531
"result.511",0.4937499924375,0.785351558599609,0.51187499261875,0.792421871319531
"result.512",0.51187499261875,0.785351558599609,0.5299999928,0.792421871319531
"result.513",0.5299999928,0.785351558599609,0.54812499298125,0.792421871319531
